OBEC,OKRES,PSC
Gemerček,Rimavská Sobota,980 31
Gemerská Hôrka,Rožňava,049 12
Gemerská Panica,Rožňava,980 46
Gemerská Poloma,Rožňava,049 22
Gemerská Ves,Revúca,982 62
Gemerské Dechtáre,Rimavská Sobota,980 04
Gemerské Michalovce,Rimavská Sobota,982 52
Gemerské Teplice,Revúca,049 16
Gemerský Jablonec,Rimavská Sobota,980 35
Gemerský Sad,Revúca,049 13
Geraltov,Prešov,082 67
Gerlachov,Poprad,059 42
Gerlachov,Bardejov,086 04
Giglovce,Vranov nad Topľou,094 05
Giraltovce,Svidník,087 01
Girovce,Vranov nad Topľou,094 06
Glabušovce,Veľký Krtíš,991 22
Gočaltovo,Rožňava,049 32
Gočovo,Rožňava,049 24
Golianovo,Nitra,951 08
Gortva,Rimavská Sobota,980 02
Gôtovany,Liptovský Mikuláš,032 14
Granč - Petrovce,Levoča,053 05
Gregorova Vieska,Lučenec,985 56
Gregorovce,Prešov,082 66
Gregorovce,Revúca,982 52
Gribov,Stropkov,090 22
Gruzovce,Humenné,067 22
Gyňov,Košice - okolie,044 14
Habovka,Tvrdošín,027 32
Habura,Medzilaborce,067 52
Hačava,Košice - okolie,044 02
Háj,Turčianske Teplice,039 01
Háj,Košice - okolie,044 02
Hajná Nová Ves,Topoľčany,956 03
Hajnáčka,Rimavská Sobota,980 33
Hájske,Šaľa,951 33
Hajtovka,Stará Ľubovňa,065 45
Haláčovce,Bánovce nad Bebravou,956 55
Halič,Lučenec,
Haligovce,Stará Ľubovňa,065 34
Haluzice,Nové Mesto n.Váhom,913 07
Hamuliakovo,Senec,900 43
Handlová,Prievidza,
Hanigovce,Sabinov,082 56
Haniska,Košice - okolie,044 57
Haniska,Prešov,080 01
Hanková,Rožňava,049 34
Hankovce,Humenné,067 12
Hankovce,Bardejov,086 46
Hanušovce nad Topľou,Vranov nad Topľou,094 31
Harakovce,Levoča,053 05
Harhaj,Bardejov,086 45
Harichovce,Spišská Nová Ves,053 01
Harmanec,Banská Bystrica,976 03
Hatalov,Michalovce,072 16
Hatné,Považská Bystrica,018 02
Havaj,Stropkov,090 23
Havka,Kežmarok,061 01
Havranec,Svidník,090 02
Hažín,Michalovce,072 34
Hažín nad Cirochou,Humenné,067 83
Hažlín,Bardejov,086 14
Helcmanovce,Gelnica,055 63
Heľpa,Brezno,976 68
Henckovce,Rožňava,049 23
Henclová,Gelnica,053 33
Hencovce,Vranov nad Topľou,093 02
Hendrichovce,Prešov,082 35
Herľany,Košice - okolie,044 45
Hermanovce,Prešov,082 35
Hermanovce n/ Topľou,Vranov nad Topľou,094 34
Hertník,Bardejov,086 42
Hervartov,Bardejov,086 22
Hiadeľ,Banská Bystrica,976 61
Hincovce,Spišská Nová Ves,053 63
Hladovka,Tvrdošín,027 13
Hlboké,Senica,906 31
Hlboké nad Váhom,Bytča,014 01
Hliník nad Hronom,Žiar nad Hronom,966 01
Hlinné,Vranov nad Topľou,
Hlivištia,Sobrance,073 01
Hlohovec,Hlohovec,
Hniezdne,Stará Ľubovňa,065 01
Hnilčík,Spišská Nová Ves,053 32
Hnilec,Spišská Nová Ves,053 75
Hnojné,Michalovce,072 33
Hnúšťa,Rimavská Sobota,
Hodejov,Rimavská Sobota,980 31
Hodejovec,Rimavská Sobota,980 02
Hodkovce,Košice - okolie,044 21
Hodruša - Hámre,Žarnovica,
Hokovce,Levice,935 84
Holčíkovce,Vranov nad Topľou,094 05
Holiare,Komárno,946 16
Holice,Dunajská Streda,930 34
Holíč,Skalica,908 51
Holiša,Lučenec,985 57
Holumnica,Kežmarok,059 94
Honce,Rožňava,049 32
Hontianska Vrbica,Levice,935 55
Hontianske Moravce,Krupina,962 71
Hontianske Nemce,Krupina,962 65
Hontianske Tesáre,Krupina,962 68
Hontianske Trsťany,Levice,935 86
Horňa,Sobrance,073 01
Horná Breznica,Púchov,020 61
Horná Kráľová,Šaľa,951 32
Horná Krupá,Trnava,919 65
Horná Lehota,Dolný Kubín,027 41
Horná Lehota,Brezno,976 81
Horná Mariková,Považská Bystrica,018 03
Horná Mičiná,Banská Bystrica,974 01
Horná Poruba,Ilava,018 35
Horná Potôň,Dunajská Streda,930 36
Horná Seč,Levice,935 31
Horná Streda,Nové Mesto n.Váhom,
Horná Strehová,Veľký Krtíš,991 02
Horná Súča,Trenčín,913 33
Horná Štubňa,Turčianske Teplice,038 46
Horná Ves,Žiar nad Hronom,967 01
Horná Ves,Prievidza,972 48
Horná Ždaňa,Žiar nad Hronom,966 04
Horňany,Trenčín,913 24
Horné Dubové,Trnava,919 65
Horné Hámre,Žarnovica,
Horné Chlebany,Topoľčany,956 31
Horné Lefantovce,Nitra,951 45
Horné Mladonice,Krupina,962 43
Horné Mýto,Dunajská Streda,930 13
Horné Naštice,Bánovce nad Bebravou,956 41
Horné Obdokovce,Topoľčany,
Horné Orešany,Trnava,919 03
Horné Otrokovce,Hlohovec,920 62
Horné Plachtince,Veľký Krtíš,991 24
Horné Pršany,Banská Bystrica,974 05
Horné Saliby,Galanta,
Horné Semerovce,Levice,935 84
Horné Srnie,Trenčín,914 42
Horné Strháre,Veľký Krtíš,991 03
Horné Štitáre,Topoľčany,956 03
Horné Trhovište,Hlohovec,920 66
Horné Turovce,Levice,935 81
Horné Vestenice,Prievidza,972 22
Horné Zahorany,Rimavská Sobota,980 26
Horné Zelenice,Hlohovec,920 52
Horný Badín,Krupina,962 51
Horný Bar,Dunajská Streda,930 33
Horný Hričov,Žilina,013 42
Horný Kalník,Martin,038 02
Horný Lieskov,Považská Bystrica,018 21
Horný Pial,Levice,935 37
Horný Tisovník,Detva,962 75
Horný Vadičov,Kysucké Nové Mesto,023 45
Horovce,Púchov,020 62
Horovce,Michalovce,072 02
Hoste,Galanta,925 45
Hostice,Rimavská Sobota,980 04
Hostie,Zlaté Moravce,951 94
Hostišovce,Rimavská Sobota,980 23
Hosťová,Nitra,951 02
Hosťovce,Košice - okolie,044 02
Hosťovce,Zlaté Moravce,951 91
Hostovice,Snina,067 35
Hozelec,Poprad,059 11
Hôrka,Poprad,059 12
Hôrka nad Váhom,Nové Mesto n.Váhom,916 32
Hôrky,Žilina,010 04
Hrabičov,Žarnovica,966 78
Hrabkov,Prešov,082 33
